dialogue_id,condition,pairing,pairing_type,model,agent_role,turn_number,g1_v1,g2_v1,g3_v1,g1_v2,g2_v2,g3_v2,gnorm_v2,kstate_v1,kstate_v2,position_depth,self_reference_depth,hypothesis_diversity,revision_genuineness,structural_direction,hedge_density
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,1,0.259,0.5,0.5,0.8031999999999999,0.4375,0.5,1.0423706106754929,False,False,4.0,2.0,4.0,0.0,0.0,0.267
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,2,0.542,0.312,0.4,0.9988,0.25,0.3999999999999999,1.1045820204946304,False,False,4.0,3.0,4.0,4.0,3.0,0.182
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,3,0.15,0.375,0.4,0.9604,0.4375,0.3999999999999999,1.1286161482098331,False,False,5.0,1.0,5.0,4.0,3.0,0.265
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,4,0.15,0.312,0.4,0.9612,0.5,0.3999999999999999,1.1549482412645165,False,False,4.0,2.0,4.0,4.0,3.0,0.2
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,5,0.579,0.25,0.4,0.8004,0.375,0.3999999999999999,0.9701882085451256,False,False,4.0,4.0,4.0,4.0,3.0,0.357
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,6,0.512,0.375,0.5,0.9912,0.375,0.5,1.1717945383043906,False,False,4.0,4.0,4.0,3.0,3.0,0.333
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,7,0.15,0.375,0.4,0.9572,0.375,0.3999999999999999,1.1031123424202993,False,False,5.0,4.0,4.0,4.0,3.0,0.562
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,8,0.539,0.312,0.7,0.8064,0.3125,0.7,1.1126262669917513,False,False,5.0,5.0,4.0,1.0,3.0,0.484
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,1,0.217,0.625,0.5,0.836,0.5,0.5,1.0949410943059905,False,False,4.0,1.0,4.0,0.0,0.0,0.185
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,2,0.15,0.188,0.4,0.7772,0.3125,0.3999999999999999,0.928275869556028,False,False,5.0,4.0,4.0,4.0,3.0,0.364
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,3,0.15,0.375,0.6,0.8371999999999999,0.1875,0.6,1.046928884881872,False,False,4.0,4.0,4.0,2.0,3.0,0.297
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,4,0.15,0.375,0.5,0.8368,0.25,0.5,1.0063469779355427,False,False,5.0,4.0,4.0,3.0,3.0,0.233
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,5,0.15,0.375,0.3,0.9992,0.375,0.30000000000000004,1.108614288199462,False,False,4.0,4.0,4.0,5.0,3.0,0.355
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,6,0.15,0.375,0.4,0.8011999999999999,0.375,0.3999999999999999,0.9708483094696101,False,False,5.0,4.0,4.0,4.0,3.0,0.455
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,7,0.15,0.375,0.4,0.7751999999999999,0.375,0.3999999999999999,0.9495051553309227,False,False,4.0,4.0,4.0,4.0,3.0,0.375
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,8,0.15,0.438,0.5,0.9356,0.5,0.5,1.1727520454043132,False,False,5.0,3.0,4.0,3.0,3.0,0.323
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,1,0.353,0.625,0.5,0.9772000000000001,0.5,0.5,1.2062005803347966,False,False,3.0,1.0,4.0,0.0,0.0,0.207
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,2,0.1,0.062,0.4,0.7672,0.125,0.3999999999999999,0.8741972546284963,False,False,5.0,4.0,5.0,4.0,3.0,0.429
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,3,0.586,0.5,0.4,0.9768,0.5625,0.3999999999999999,1.1960537153489386,False,False,5.0,2.0,4.0,4.0,3.0,0.258
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,4,0.15,0.438,0.6,0.8311999999999999,0.5625,0.6,1.1693159068446815,False,False,4.0,1.0,4.0,2.0,3.0,0.214
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,5,0.596,0.062,0.4,0.7851999999999999,0.25,0.3999999999999999,0.9159907423112964,False,False,4.0,4.0,5.0,4.0,3.0,0.405
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,6,0.15,0.375,0.4,0.9656,0.4375,0.3999999999999999,1.133044398953545,False,False,5.0,4.0,4.0,4.0,3.0,0.229
